chr	Start	End	Deletion_Size
2L 	 1339 	 1369 	 30
2L 	 31418 	 31538 	 120
2L	33267 	 40487 	 7220
2L 	 42649 	 42770 	 121
2L	52839 	 59725 	 6886
2L	79109 	 82299 	 3190
2L	90480 	 90668 	 188
2L 	 93143 	 93262 	 119
2L	157840 	 159374 	 1534
2L 	 164417 	 164535 	 118
2L 	 168628 	 168743 	 115
2L 	 180469 	 180586 	 117
2L	181038 	 183906 	 2868
2L	214334 	 220978 	 6644
2L	240607 	 240831 	 224
2L	250124 	 250872 	 748
2L 	 252449 	 252571 	 122
2L 	 257684 	 257782 	 98
2L	285144 	 288390 	 3246
2L 	 305717 	 305829 	 112
2L	306329 	 314375 	 8046
2L	325446 	 325584 	 138
2L 	 344174 	 344231 	 57
2L 	 352341 	 352421 	 80
2L	375660 	 375717 	 57
2L	380768 	 394862 	 14094
2L	428287 	 430298 	 2011
2L 	 436709 	 436806 	 97
2L	462362 	 462424 	 62
2L	470309 	 474822 	 4513
2L	506816 	 507810 	 994
2L	513936 	 516064 	 2128
2L	520424 	 521809 	 1385
2L 	 536986 	 537100 	 114
2L	557304 	 560658 	 3354
2L 	 562174 	 562218 	 44
2L 	 567317 	 567401 	 84
2L 	 576327 	 576429 	 102
2L 	 586539 	 586647 	 108
2L	685465 	 686332 	 867
2L 	 688404 	 688474 	 70
2L 	 715068 	 715180 	 112
2L	734068 	 734168 	 100
2L	766092 	 770635 	 4543
2L	792876 	 796283 	 3407
2L 	 801352 	 801450 	 98
2L 	 801502 	 801603 	 101
2L 	 840175 	 840298 	 123
2L	845967 	 846571 	 604
2L	943285 	 945621 	 2336
2L 	 959561 	 959659 	 98
2L 	 984453 	 984499 	 46
2L 	 1003504 	 1003566 	 62
2L 	 1014829 	 1014939 	 110
2L	1020308 	 1020728 	 420
2L	1029225 	 1035517 	 6292
2L 	 1065497 	 1065603 	 106
2L 	 1103871 	 1103992 	 121
2L 	 1107936 	 1108042 	 106
2L	1183356 	 1190970 	 7614
2L	1200892 	 1204381 	 3489
2L 	 1215923 	 1216031 	 108
2L 	 1232005 	 1232108 	 103
2L	1233894 	 1238286 	 4392
2L	1267040 	 1267090 	 50
2L 	 1278997 	 1279118 	 121
2L 	 1297164 	 1297286 	 122
2L	1338744 	 1351989 	 13245
2L 	 1362551 	 1362652 	 101
2L	1380360 	 1380604 	 244
2L 	 1397485 	 1397590 	 105
2L 	 1442210 	 1442332 	 122
2L 	 1459164 	 1459265 	 101
2L 	 1483205 	 1483322 	 117
2L	1504626 	 1526658 	 22032
2L 	 1529191 	 1529313 	 122
2L 	 1535082 	 1535182 	 100
2L 	 1549842 	 1549950 	 108
2L	1554652 	 1556110 	 1458
2L	1556307 	 1566077 	 9770
2L 	 1566953 	 1567075 	 122
2L 	 1585488 	 1585583 	 95
2L 	 1589938 	 1589972 	 34
2L	1592392 	 1597548 	 5156
2L	1619479 	 1621419 	 1940
2L 	 1623793 	 1623916 	 123
2L	1637412 	 1637466 	 54
2L	1639937 	 1640160 	 223
2L 	 1644764 	 1644880 	 116
2L	1645036 	 1647188 	 2152
2L	1677055 	 1677643 	 588
2L 	 1690457 	 1690562 	 105
2L	1721995 	 1722191 	 196
2L	1737678 	 1737769 	 91
2L	1746577 	 1747429 	 852
2L 	 1779736 	 1779783 	 47
2L	1780639 	 1780689 	 50
2L	1796421 	 1797870 	 1449
2L	1846565 	 1846770 	 205
2L	1872369 	 1880875 	 8506
2L 	 1895872 	 1895952 	 80
2L 	 1896011 	 1896057 	 46
2L 	 1899613 	 1899734 	 121
2L	1908714 	 1909234 	 520
2L	1938947 	 1939856 	 909
2L	1941302 	 1944946 	 3644
2L 	 1948283 	 1948397 	 114
2L	1953156 	 1955226 	 2070
2L	1960380 	 1963187 	 2807
2L 	 1982693 	 1982813 	 120
2L	1992214 	 2002148 	 9934
2L	2002360 	 2008892 	 6532
2L 	 2016847 	 2016944 	 97
2L	2032392 	 2038909 	 6517
2L 	 2057614 	 2057729 	 115
2L 	 2068642 	 2068746 	 104
2L	2077980 	 2078944 	 964
2L	2084625 	 2085313 	 688
2L 	 2085566 	 2085687 	 121
2L	2091933 	 2092361 	 428
2L	2094646 	 2096240 	 1594
2L 	 2110841 	 2110889 	 48
2L 	 2114481 	 2114584 	 103
2L 	 2118905 	 2119011 	 106
2L 	 2130559 	 2130680 	 121
2L	2132276 	 2139797 	 7521
2L	2148154 	 2148307 	 153
2L	2150589 	 2151002 	 413
2L	2157950 	 2175641 	 17691
2L	2270469 	 2270641 	 172
2L	2273217 	 2273782 	 565
2L	2280814 	 2285159 	 4345
2L	2323905 	 2329388 	 5483
2L	2341143 	 2342645 	 1502
2L	2348881 	 2349557 	 676
2L	2362633 	 2362775 	 142
2L 	 2364758 	 2364881 	 123
2L	2373489 	 2379521 	 6032
2L	2402976 	 2408522 	 5546
2L	2443759 	 2444989 	 1230
2L 	 2470480 	 2470583 	 103
2L	2477293 	 2484651 	 7358
2L 	 2494369 	 2494493 	 124
2L	2512324 	 2512416 	 92
2L 	 2534814 	 2534935 	 121
2L	2560823 	 2561187 	 364
2L 	 2568241 	 2568360 	 119
2L	2580315 	 2582961 	 2646
2L 	 2586503 	 2586618 	 115
2L 	 2610566 	 2610683 	 117
2L 	 2662336 	 2662372 	 36
2L 	 2686428 	 2686543 	 115
2L	2696586 	 2698244 	 1658
2L	2713587 	 2713679 	 92
2L	2732450 	 2736309 	 3859
2L 	 2738941 	 2739054 	 113
2L	2769503 	 2771259 	 1756
2L 	 2780290 	 2780360 	 70
2L 	 2784431 	 2784534 	 103
2L 	 2792105 	 2792204 	 99
2L	2805452 	 2832381 	 26929
2L 	 2843466 	 2843590 	 124
2L	2844227 	 2853612 	 9385
2L 	 2860544 	 2860644 	 100
2L 	 2886324 	 2886425 	 101
2L	2891971 	 2909384 	 17413
2L 	 2909493 	 2909614 	 121
2L 	 2912053 	 2912153 	 100
2L	2925284 	 2930320 	 5036
2L 	 2936410 	 2936528 	 118
2L	2971491 	 2973266 	 1775
2L	2985258 	 3000326 	 15068
2L	3011945 	 3013521 	 1576
2L	3013946 	 3027395 	 13449
2L	3028443 	 3032558 	 4115
2L 	 3041642 	 3041766 	 124
2L	3043266 	 3056708 	 13442
2L 	 3071987 	 3072038 	 51
2L	3078168 	 3080228 	 2060
2L	3094551 	 3098358 	 3807
2L	3105159 	 3106058 	 899
2L	3107418 	 3108347 	 929
2L	3127372 	 3129022 	 1650
2L	3132116 	 3149914 	 17798
2L 	 3161976 	 3162035 	 59
2L 	 3169032 	 3169101 	 69
2L	3191684 	 3191992 	 308
2L	3196749 	 3197863 	 1114
2L	3198069 	 3201306 	 3237
2L 	 3204865 	 3204900 	 35
2L	3213702 	 3213867 	 165
2L	3222615 	 3227229 	 4614
2L 	 3240113 	 3240240 	 127
2L 	 3240995 	 3241122 	 127
2L 	 3245397 	 3245524 	 127
2L 	 3253668 	 3253744 	 76
2L 	 3255684 	 3255788 	 104
2L	3305146 	 3326908 	 21762
2L 	 3334719 	 3334840 	 121
2L 	 3346851 	 3346978 	 127
2L 	 3368099 	 3368217 	 118
2L	3377269 	 3377353 	 84
2L 	 3380587 	 3380692 	 105
2L	3387294 	 3391866 	 4572
2L 	 3408444 	 3408556 	 112
2L	3422194 	 3428361 	 6167
2L	3430163 	 3432376 	 2213
2L 	 3444683 	 3444806 	 123
2L 	 3458944 	 3459064 	 120
2L	3471193 	 3477656 	 6463
2L 	 3478283 	 3478407 	 124
2L	3481436 	 3484768 	 3332
2L	3514751 	 3515089 	 338
2L 	 3520300 	 3520421 	 121
2L	3562225 	 3562429 	 204
2L	3585886 	 3586556 	 670
2L 	 3587927 	 3588049 	 122
2L 	 3635556 	 3635677 	 121
2L 	 3665732 	 3665844 	 112
2L	3678136 	 3678348 	 212
2L	3679043 	 3679113 	 70
2L 	 3690536 	 3690664 	 128
2L 	 3716864 	 3716985 	 121
2L 	 3736341 	 3736462 	 121
2L	3761809 	 3799052 	 37243
2L 	 3846989 	 3847092 	 103
2L 	 3856549 	 3856673 	 124
2L	3860000 	 3860069 	 69
2L	3870215 	 3871131 	 916
2L	3910523 	 3913239 	 2716
2L 	 3917261 	 3917385 	 124
2L	3924719 	 3924767 	 48
2L	3934858 	 3934969 	 111
2L	3957149 	 3972869 	 15720
2L	3988317 	 3988407 	 90
2L	3990457 	 3992267 	 1810
2L	3993301 	 3993631 	 330
2L 	 3993631 	 3993701 	 70
2L	4010140 	 4010383 	 243
2L 	 4027992 	 4028094 	 102
